UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0  2016 ?        00:04:16 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root          2      0  0  2016 ?        00:00:01 [kthreadd]
root          3      2  0  2016 ?        00:00:56 [ksoftirqd/0]
root          5      2  0  2016 ?        00:00:00 [kworker/0:0H]
root          6      2  0  2016 ?        00:00:13 [kworker/u288:0]
root          8      2  0  2016 ?        00:04:05 [rcu_sched]
root          9      2  0  2016 ?        00:00:00 [rcu_bh]
root         10      2  0  2016 ?        00:03:52 [rcuos/0]
root         11      2  0  2016 ?        00:00:00 [rcuob/0]
root         12      2  0  2016 ?        00:00:00 [migration/0]
root         13      2  0  2016 ?        00:00:03 [watchdog/0]
root         14      2  0  2016 ?        00:00:03 [watchdog/1]
root         15      2  0  2016 ?        00:00:00 [migration/1]
root         16      2  0  2016 ?        00:00:00 [ksoftirqd/1]
root         18      2  0  2016 ?        00:00:00 [kworker/1:0H]
root         19      2  0  2016 ?        00:00:05 [rcuos/1]
root         20      2  0  2016 ?        00:00:00 [rcuob/1]
root         22      2  0  2016 ?        00:00:03 [watchdog/2]
root         23      2  0  2016 ?        00:00:00 [migration/2]
root         24      2  0  2016 ?        00:00:00 [ksoftirqd/2]
root         26      2  0  2016 ?        00:00:00 [kworker/2:0H]
root         27      2  0  2016 ?        00:00:19 [rcuos/2]
root         28      2  0  2016 ?        00:00:00 [rcuob/2]
root         29      2  0  2016 ?        00:00:02 [watchdog/3]
root         30      2  0  2016 ?        00:00:00 [migration/3]
root         31      2  0  2016 ?        00:00:00 [ksoftirqd/3]
root         33      2  0  2016 ?        00:00:00 [kworker/3:0H]
root         34      2  0  2016 ?        00:00:04 [rcuos/3]
root         35      2  0  2016 ?        00:00:00 [rcuob/3]
root         36      2  0  2016 ?        00:00:03 [watchdog/4]
root         37      2  0  2016 ?        00:00:00 [migration/4]
root         38      2  0  2016 ?        00:00:00 [ksoftirqd/4]
root         40      2  0  2016 ?        00:00:00 [kworker/4:0H]
root         41      2  0  2016 ?        00:00:24 [rcuos/4]
root         42      2  0  2016 ?        00:00:00 [rcuob/4]
root         43      2  0  2016 ?        00:00:02 [watchdog/5]
root         44      2  0  2016 ?        00:00:00 [migration/5]
root         45      2  0  2016 ?        00:00:00 [ksoftirqd/5]
root         47      2  0  2016 ?        00:00:00 [kworker/5:0H]
root         48      2  0  2016 ?        00:00:04 [rcuos/5]
root         49      2  0  2016 ?        00:00:00 [rcuob/5]
root         50      2  0  2016 ?        00:00:03 [watchdog/6]
root         51      2  0  2016 ?        00:00:00 [migration/6]
root         52      2  0  2016 ?        00:00:00 [ksoftirqd/6]
root         55      2  0  2016 ?        00:00:18 [rcuos/6]
root         56      2  0  2016 ?        00:00:00 [rcuob/6]
root         57      2  0  2016 ?        00:00:02 [watchdog/7]
root         58      2  0  2016 ?        00:00:00 [migration/7]
root         59      2  0  2016 ?        00:00:00 [ksoftirqd/7]
root         62      2  0  2016 ?        00:00:03 [rcuos/7]
root         63      2  0  2016 ?        00:00:00 [rcuob/7]
root         64      2  0  2016 ?        00:00:03 [watchdog/8]
root         65      2  0  2016 ?        00:00:00 [migration/8]
root         66      2  0  2016 ?        00:00:00 [ksoftirqd/8]
root         68      2  0  2016 ?        00:00:00 [kworker/8:0H]
root         69      2  0  2016 ?        00:00:15 [rcuos/8]
root         70      2  0  2016 ?        00:00:00 [rcuob/8]
root         71      2  0  2016 ?        00:00:02 [watchdog/9]
root         72      2  0  2016 ?        00:00:00 [migration/9]
root         73      2  0  2016 ?        00:00:00 [ksoftirqd/9]
root         75      2  0  2016 ?        00:00:00 [kworker/9:0H]
